candidate_id,skills,education,years_of_experience,placed,placement_date,offered_salary_lpa,sector_placed_in,skills_list
1,"Python,SQL,Machine Learning",B.Tech,3.0,1,2023-04-10,16.0,Technology,"['python', 'sql', 'machine learning']"
2,"Python,Deep Learning",M.Sc,4.0,1,2023-04-15,22.0,Technology,"['python', 'deep learning']"
3,"SQL,Excel,Data Analysis",MBA,2.0,1,2023-03-25,8.5,Finance,"['sql', 'excel', 'data analysis']"
4,"Excel,Communication",BCA,1.0,0,,16.5,,"['excel', 'communication']"
5,"Python,TensorFlow,Machine Learning",B.Tech,3.0,1,2023-05-20,19.0,Technology,"['python', 'tensorflow', 'machine learning']"
6,"SQL,Power BI",MBA,2.0,1,2023-05-10,10.0,Finance,"['sql', 'power bi']"
7,"Python,Statistics",M.Sc,2.0,1,2023-06-01,14.0,Technology,"['python', 'statistics']"
8,"Excel,SQL",BCA,0.5,0,,16.5,,"['excel', 'sql']"
9,"Python,Machine Learning,Statistics",M.Sc,4.0,1,2023-06-20,20.0,Technology,"['python', 'machine learning', 'statistics']"
10,"SQL,Tableau",MBA,2.5,1,2023-07-05,11.0,Retail,"['sql', 'tableau']"
11,"Python,Cloud,Docker",B.Tech,3.0,1,2023-07-15,18.0,Technology,"['python', 'cloud', 'docker']"
12,"Excel,Communication,Statistics",MBA,1.5,0,,16.5,,"['excel', 'communication', 'statistics']"
13,"Python,Deep Learning,TensorFlow",M.Sc,5.0,1,2023-08-01,26.0,Technology,"['python', 'deep learning', 'tensorflow']"
14,"SQL,Excel,Data Analysis",BCA,1.0,0,,16.5,,"['sql', 'excel', 'data analysis']"
15,"Python,SQL,Statistics",B.Tech,3.0,1,2023-08-20,17.0,Technology,"['python', 'sql', 'statistics']"
16,"R,Statistics",M.Sc,3.0,1,2023-09-10,13.0,Healthcare,"['r', 'statistics']"
17,"Python,Machine Learning",B.Tech,2.0,1,2023-09-25,15.0,Technology,"['python', 'machine learning']"
18,"SQL,Power BI,Tableau",MBA,2.5,1,2023-10-05,12.0,Retail,"['sql', 'power bi', 'tableau']"
19,"Python,Cloud",B.Tech,3.0,1,2023-10-20,16.0,Technology,"['python', 'cloud']"
20,"Excel,Data Analysis",BCA,1.0,0,,16.5,,"['excel', 'data analysis']"
21,"Python,Deep Learning,Statistics",M.Sc,4.0,1,2023-11-05,23.0,Technology,"['python', 'deep learning', 'statistics']"
