job_id,job_title,company,sector,location,skills_required,date_posted,experience_min_yrs,salary_lpa,skills_list,canonical_skills
1,Data Scientist,Acme Corp,Technology,Bangalore,"Python,SQL,Machine Learning",2024-01-15,2.0,12.0,"['python', 'sql', 'machine learning']","['python', 'sql', 'machine_learning']"
2,ML Engineer,Beta Inc,Technology,Mumbai,"Python,TensorFlow,Deep Learning",2024-02-10,3.0,18.0,"['python', 'tensorflow', 'deep learning']","['python', 'tensorflow', 'deep_learning']"
3,Data Analyst,Gamma Ltd,Finance,Delhi,"SQL,Excel,Data Analysis",2024-01-20,1.0,7.0,"['sql', 'excel', 'data analysis']","['sql', 'excel', 'data_analysis']"
4,Business Analyst,Delta Co,Finance,Chennai,"Excel,Statistics,Communication",2024-03-05,2.0,9.0,"['excel', 'statistics', 'communication']","['excel', 'statistics', 'communication']"
5,Data Engineer,Epsilon Sys,Technology,Hyderabad,"Python,SQL,Cloud",2024-02-28,3.0,15.0,"['python', 'sql', 'cloud']","['python', 'sql', 'cloud']"
6,ML Researcher,Zeta AI,Technology,Bangalore,"Python,Deep Learning,Statistics",2024-04-01,4.0,22.0,"['python', 'deep learning', 'statistics']","['python', 'deep_learning', 'statistics']"
7,Data Analyst,Eta Analytics,Healthcare,Pune,"SQL,Excel,Data Analysis",2024-03-15,1.0,6.5,"['sql', 'excel', 'data analysis']","['sql', 'excel', 'data_analysis']"
8,BI Developer,Theta BI,Finance,Mumbai,"SQL,Power BI,Excel",2024-04-20,2.0,10.0,"['sql', 'power bi', 'excel']","['sql', 'power_bi', 'excel']"
9,Data Scientist,Iota ML,Technology,Delhi,"Python,Machine Learning,Statistics",2024-05-10,3.0,16.0,"['python', 'machine learning', 'statistics']","['python', 'machine_learning', 'statistics']"
10,Analytics Lead,Kappa Data,Retail,Bangalore,"Python,SQL,Tableau",2024-05-25,5.0,20.0,"['python', 'sql', 'tableau']","['python', 'sql', 'tableau']"
11,NLP Engineer,Lambda NLP,Technology,Mumbai,"Python,Deep Learning,Machine Learning",2024-06-01,4.0,24.0,"['python', 'deep learning', 'machine learning']","['python', 'deep_learning', 'machine_learning']"
12,Data Analyst,Mu Corp,Manufacturing,Chennai,"Excel,SQL,Statistics",2024-06-15,1.0,5.5,"['excel', 'sql', 'statistics']","['excel', 'sql', 'statistics']"
13,ML Engineer,Nu AI,Technology,Hyderabad,"Python,TensorFlow,Machine Learning",2024-07-01,3.0,19.0,"['python', 'tensorflow', 'machine learning']","['python', 'tensorflow', 'machine_learning']"
14,Data Scientist,Xi Corp,Finance,Pune,"Python,SQL,Statistics",2024-07-20,2.0,14.0,"['python', 'sql', 'statistics']","['python', 'sql', 'statistics']"
15,Analytics Engineer,Omicron,Technology,Bangalore,"Python,SQL,Cloud",2024-08-05,3.0,17.0,"['python', 'sql', 'cloud']","['python', 'sql', 'cloud']"
16,Business Intelligence,Pi BI,Retail,Mumbai,"SQL,Power BI,Tableau",2024-08-20,2.0,11.0,"['sql', 'power bi', 'tableau']","['sql', 'power_bi', 'tableau']"
17,Data Analyst,Rho Ltd,Healthcare,Delhi,"SQL,Excel,Communication",2024-09-01,1.0,6.0,"['sql', 'excel', 'communication']","['sql', 'excel', 'communication']"
18,Senior Data Scientist,Sigma DS,Technology,Bangalore,"Python,Machine Learning,Deep Learning",2024-09-15,5.0,28.0,"['python', 'machine learning', 'deep learning']","['python', 'machine_learning', 'deep_learning']"
19,Data Engineer,Tau Systems,Technology,Chennai,"Python,SQL,Docker",2024-10-01,3.0,16.5,"['python', 'sql', 'docker']","['python', 'sql', 'docker']"
20,MLOps Engineer,Upsilon,Technology,Hyderabad,"Python,Docker,Cloud",2024-10-20,4.0,21.0,"['python', 'docker', 'cloud']","['python', 'docker', 'cloud']"
